flight date,airline,flight_num,class,from,dep_time,to,arr_time,duration,price,stops
06/26/2023,Air India,AI-803,economy,Delhi,06:10,Mumbai,08:35,26h 25m,12272,1-stop
06/26/2023,Air India,AI-479,economy,Delhi,21:15,Mumbai,15:00,17h 45m,12337,1-stop
06/26/2023,SpiceJet,SG-339,economy,Delhi,17:00,Mumbai,12:35,19h 35m,12352,1-stop
06/26/2023,Vistara,UK-955,economy,Delhi,17:45,Mumbai,20:05,02h 20m,12908,non-stop
06/26/2023,Vistara,UK-627,economy,Delhi,13:20,Mumbai,16:00,26h 40m,13014,1-stop
06/26/2023,AirAsia,I5-784,economy,Delhi,16:05,Mumbai,07:15,15h 10m,12664,1-stop
06/26/2023,Air India,AI-9643,economy,Delhi,19:00,Mumbai,15:50,20h 50m,13067,1-stop
06/26/2023,Air India,AI-540,economy,Delhi,20:40,Mumbai,08:05,11h 25m,13120,1-stop
06/26/2023,Air India,AI-429,economy,Delhi,09:50,Mumbai,08:05,22h 15m,13120,1-stop
06/26/2023,Air India,AI-439,economy,Delhi,06:05,Mumbai,08:05,26h 00m,13120,1-stop
06/26/2023,Air India,AI-9645,economy,Delhi,15:50,Mumbai,13:35,21h 45m,13217,1-stop
06/26/2023,Indigo,6E-2193,economy,Delhi,14:05,Mumbai,17:55,03h 50m,13412,1-stop
06/26/2023,Indigo,6E-2168,economy,Delhi,18:00,Mumbai,22:25,04h 25m,13412,1-stop
06/26/2023,Indigo,6.00E-152,economy,Delhi,10:15,Mumbai,17:55,07h 40m,13412,1-stop
06/26/2023,Indigo,6E-2193,economy,Delhi,14:05,Mumbai,22:25,08h 20m,13412,1-stop
06/26/2023,Indigo,6E-369,economy,Delhi,21:50,Mumbai,08:15,10h 25m,13412,1-stop
06/26/2023,Vistara,UK-899,economy,Delhi,14:45,Mumbai,14:30,23h 45m,13810,1-stop
06/26/2023,Air India,AI-764,economy,Delhi,16:55,Mumbai,12:25,19h 30m,13544,1-stop
06/26/2023,Vistara,UK-747,economy,Delhi,06:30,Mumbai,13:00,06h 30m,14074,1-stop
06/26/2023,Vistara,UK-809,economy,Delhi,19:50,Mumbai,08:15,12h 25m,14180,1-stop
06/26/2023,Vistara,UK-737,economy,Delhi,15:55,Mumbai,13:00,21h 05m,14180,1-stop
06/26/2023,Vistara,UK-813,economy,Delhi,17:35,Mumbai,20:15,26h 40m,14234,1-stop
06/26/2023,Vistara,UK-817,economy,Delhi,16:05,Mumbai,20:15,28h 10m,14234,1-stop
06/26/2023,Vistara,UK-813,economy,Delhi,17:35,Mumbai,21:50,28h 15m,14234,1-stop
06/26/2023,Indigo,6E-2338,economy,Delhi,12:45,Mumbai,20:45,08h 00m,13905,1-stop
06/26/2023,GO FIRST,G8-237,economy,Delhi,12:50,Mumbai,22:05,09h 15m,14071,1-stop
06/26/2023,Vistara,UK-871,economy,Delhi,20:35,Mumbai,14:30,17h 55m,14552,1-stop
06/26/2023,Vistara,UK-871,economy,Delhi,20:35,Mumbai,23:00,26h 25m,14552,1-stop
06/26/2023,Air India,AI-762,economy,Delhi,20:15,Mumbai,12:25,16h 10m,14393,1-stop
06/26/2023,GO FIRST,G8-1404,economy,Delhi,09:10,Mumbai,16:15,07h 05m,14684,1-stop
06/26/2023,Vistara,UK-747,economy,Delhi,06:30,Mumbai,20:20,13h 50m,15135,1-stop
06/26/2023,Air India,AI-512,economy,Delhi,15:30,Mumbai,23:05,07h 35m,14817,1-stop
06/26/2023,Air India,AI-537,economy,Delhi,16:15,Mumbai,08:05,15h 50m,15347,1-stop
06/26/2023,Vistara,UK-977,economy,Delhi,19:00,Mumbai,21:15,02h 15m,15877,non-stop
06/26/2023,Vistara,UK-809,economy,Delhi,19:50,Mumbai,20:15,24h 25m,16143,1-stop
06/26/2023,Vistara,UK-809,economy,Delhi,19:50,Mumbai,21:50,26h 00m,16143,1-stop
06/26/2023,Indigo,6.00E-184,economy,Delhi,09:05,Mumbai,13:15,04h 10m,15877,1-stop
06/26/2023,SpiceJet,SG-3002,economy,Delhi,07:45,Mumbai,12:00,04h 15m,15877,1-stop
06/26/2023,Indigo,6E-2102,economy,Delhi,07:20,Mumbai,12:25,05h 05m,15877,1-stop
06/26/2023,Air India,AI-801,economy,Delhi,17:05,Mumbai,22:25,29h 20m,16407,1-stop
06/26/2023,Vistara,UK-637,economy,Delhi,17:10,Mumbai,21:35,04h 25m,16779,1-stop
06/26/2023,Vistara,UK-747,economy,Delhi,06:30,Mumbai,23:30,17h 00m,16832,1-stop
06/26/2023,Vistara,UK-835,economy,Delhi,19:55,Mumbai,22:35,26h 40m,16832,1-stop
06/26/2023,Air India,AI-764,economy,Delhi,16:55,Mumbai,20:05,27h 10m,16620,1-stop
06/26/2023,Air India,AI-531,economy,Delhi,20:00,Mumbai,20:45,24h 45m,16832,1-stop
06/26/2023,Vistara,UK-817,economy,Delhi,16:05,Mumbai,21:50,05h 45m,17521,1-stop
06/26/2023,Vistara,UK-819,economy,Delhi,14:15,Mumbai,21:50,07h 35m,17521,1-stop
06/26/2023,Vistara,UK-801,economy,Delhi,09:05,Mumbai,21:50,12h 45m,17521,1-stop
06/26/2023,Vistara,UK-815,economy,Delhi,08:05,Mumbai,21:50,13h 45m,17521,1-stop
06/26/2023,Vistara,UK-813,economy,Delhi,17:35,Mumbai,11:25,17h 50m,17521,1-stop
06/26/2023,Vistara,UK-705,economy,Delhi,07:30,Mumbai,13:00,05h 30m,17574,1-stop
06/26/2023,Vistara,UK-707,economy,Delhi,17:30,Mumbai,13:00,19h 30m,17680,1-stop
06/26/2023,Vistara,UK-737,economy,Delhi,15:55,Mumbai,23:30,07h 35m,17786,1-stop
06/26/2023,Air India,AI-762,economy,Delhi,20:15,Mumbai,20:05,23h 50m,17468,1-stop
06/26/2023,Vistara,UK-673,economy,Delhi,13:20,Mumbai,18:20,05h 00m,17840,1-stop
06/26/2023,Air India,AI-839,economy,Delhi,21:25,Mumbai,23:55,26h 30m,18210,1-stop
06/26/2023,Vistara,UK-879,economy,Delhi,17:40,Mumbai,14:30,20h 50m,18582,1-stop
06/26/2023,Vistara,UK-705,economy,Delhi,07:30,Mumbai,20:20,12h 50m,18635,1-stop
06/26/2023,GO FIRST,G8-191,economy,Delhi,09:15,Mumbai,18:10,08h 55m,18672,1-stop
06/26/2023,Vistara,UK-819,economy,Delhi,14:15,Mumbai,20:15,06h 00m,19112,1-stop
06/26/2023,Vistara,UK-801,economy,Delhi,09:05,Mumbai,20:15,11h 10m,19112,1-stop
06/26/2023,Vistara,UK-815,economy,Delhi,08:05,Mumbai,20:15,12h 10m,19112,1-stop
06/26/2023,Vistara,UK-809,economy,Delhi,19:50,Mumbai,11:25,15h 35m,19430,1-stop
06/26/2023,Vistara,UK-835,economy,Delhi,19:55,Mumbai,11:40,15h 45m,20119,1-stop
06/26/2023,Air India,AI-767,economy,Delhi,12:10,Mumbai,20:05,07h 55m,19907,1-stop
06/26/2023,Air India,AI-401,economy,Delhi,06:50,Mumbai,20:05,13h 15m,19907,1-stop
06/26/2023,Vistara,UK-705,economy,Delhi,07:30,Mumbai,23:30,16h 00m,20331,1-stop
06/26/2023,Air India,AI-473,economy,Delhi,18:40,Mumbai,17:25,22h 45m,20013,1-stop
06/26/2023,Vistara,UK-707,economy,Delhi,17:30,Mumbai,23:30,06h 00m,21286,1-stop
06/26/2023,GO FIRST,G8-213,economy,Delhi,11:50,Mumbai,18:10,06h 20m,21322,1-stop
06/26/2023,Air India,AI-409,economy,Delhi,10:35,Mumbai,17:50,07h 15m,23438,1-stop
06/26/2023,Air India,AI-429,economy,Delhi,09:50,Mumbai,15:55,30h 05m,24785,"1-stop
												Via Chennai
												"
06/26/2023,Air India,AI-401,economy,Delhi,06:50,Mumbai,17:50,11h 00m,26058,1-stop
06/26/2023,Vistara,UK-837,economy,Delhi,17:25,Mumbai,11:40,18h 15m,27543,1-stop
06/26/2023,Air India,AI-877,economy,Delhi,11:20,Mumbai,17:25,06h 05m,29876,1-stop
06/27/2023,SpiceJet,SG-8803,economy,Delhi,07:20,Mumbai,09:35,02h 15m,6013,non-stop
06/27/2023,SpiceJet,SG-8169,economy,Delhi,19:45,Mumbai,22:05,02h 20m,6013,non-stop
06/27/2023,Vistara,UK-927,economy,Delhi,09:30,Mumbai,11:35,02h 05m,6015,non-stop
06/27/2023,Vistara,UK-985,economy,Delhi,19:50,Mumbai,22:00,02h 10m,6015,non-stop
06/27/2023,Vistara,UK-977,economy,Delhi,19:00,Mumbai,21:15,02h 15m,6015,non-stop
06/27/2023,Vistara,UK-963,economy,Delhi,08:50,Mumbai,11:10,02h 20m,6015,non-stop
06/27/2023,Vistara,UK-955,economy,Delhi,17:45,Mumbai,20:05,02h 20m,6015,non-stop
06/27/2023,Vistara,UK-953,economy,Delhi,20:40,Mumbai,22:50,02h 10m,6121,non-stop
06/27/2023,GO FIRST,G8-334,economy,Delhi,08:00,Mumbai,10:10,02h 10m,6014,non-stop
06/27/2023,GO FIRST,G8-336,economy,Delhi,14:20,Mumbai,16:35,02h 15m,6014,non-stop
06/27/2023,GO FIRST,G8-346,economy,Delhi,19:40,Mumbai,21:55,02h 15m,6014,non-stop
06/27/2023,GO FIRST,G8-330,economy,Delhi,21:00,Mumbai,23:15,02h 15m,6014,non-stop
06/27/2023,GO FIRST,G8-338,economy,Delhi,10:30,Mumbai,12:50,02h 20m,6014,non-stop
06/27/2023,GO FIRST,G8-323,economy,Delhi,18:50,Mumbai,21:10,02h 20m,6014,non-stop
06/27/2023,Indigo,6E-5001,economy,Delhi,07:15,Mumbai,09:25,02h 10m,6015,non-stop
06/27/2023,Indigo,6E-2046,economy,Delhi,17:15,Mumbai,19:25,02h 10m,6015,non-stop
06/27/2023,Indigo,6E-5041,economy,Delhi,18:40,Mumbai,20:50,02h 10m,6015,non-stop
06/27/2023,Indigo,6.00E-218,economy,Delhi,10:50,Mumbai,13:05,02h 15m,6015,non-stop
06/27/2023,Indigo,6E-549,economy,Delhi,14:20,Mumbai,16:35,02h 15m,6015,non-stop
06/27/2023,Indigo,6E-6722,economy,Delhi,21:15,Mumbai,23:30,02h 15m,6015,non-stop
06/27/2023,SpiceJet,SG-8157,economy,Delhi,06:20,Mumbai,08:40,02h 20m,6015,non-stop
06/27/2023,Indigo,6E-6278,economy,Delhi,08:45,Mumbai,11:05,02h 20m,6015,non-stop
06/27/2023,Indigo,6E-5328,economy,Delhi,09:30,Mumbai,12:00,02h 30m,6015,non-stop
06/27/2023,AirAsia,I5-764,economy,Delhi,04:25,Mumbai,06:35,02h 10m,6016,non-stop
06/27/2023,Air India,AI-868,economy,Delhi,18:00,Mumbai,20:00,02h 00m,6015,non-stop
06/27/2023,Air India,AI-887,economy,Delhi,07:00,Mumbai,09:05,02h 05m,6015,non-stop
06/27/2023,Air India,AI-665,economy,Delhi,08:00,Mumbai,10:10,02h 10m,6015,non-stop
06/27/2023,Air India,AI-805,economy,Delhi,20:00,Mumbai,22:10,02h 10m,6015,non-stop
06/27/2023,Air India,AI-624,economy,Delhi,19:00,Mumbai,21:15,02h 15m,6015,non-stop
06/27/2023,AirAsia,I5-747,economy,Delhi,19:00,Mumbai,07:15,12h 15m,6008,1-stop
06/27/2023,AirAsia,I5-747,economy,Delhi,19:00,Mumbai,11:20,16h 20m,6008,1-stop
06/27/2023,GO FIRST,G8-188,economy,Delhi,08:00,Mumbai,20:20,12h 20m,6014,1-stop
06/27/2023,GO FIRST,G8-103,economy,Delhi,19:25,Mumbai,07:45,12h 20m,6014,1-stop
06/27/2023,Air India,AI-636,economy,Delhi,14:30,Mumbai,18:00,03h 30m,6015,"1-stop
												Via Indore
												"
06/27/2023,Air India,AI-441,economy,Delhi,17:50,Mumbai,21:35,03h 45m,6015,"1-stop
												Via IXU
												"
06/27/2023,Vistara,UK-995,economy,Delhi,10:20,Mumbai,12:35,02h 15m,6439,non-stop
06/27/2023,Vistara,UK-951,economy,Delhi,14:20,Mumbai,16:30,02h 10m,7605,non-stop
06/27/2023,Vistara,UK-933,economy,Delhi,15:30,Mumbai,17:40,02h 10m,7605,non-stop
06/27/2023,Vistara,UK-945,economy,Delhi,11:40,Mumbai,14:00,02h 20m,7605,non-stop
06/27/2023,AirAsia,I5-784,economy,Delhi,16:05,Mumbai,07:15,15h 10m,7493,1-stop
06/27/2023,Indigo,6E-6202,economy,Delhi,12:00,Mumbai,14:10,02h 10m,7923,non-stop
06/27/2023,Indigo,6E-2022,economy,Delhi,06:25,Mumbai,16:40,10h 15m,8480,1-stop
06/27/2023,SpiceJet,SG-2976,economy,Delhi,19:20,Mumbai,23:50,04h 30m,8958,1-stop
06/27/2023,SpiceJet,SG-2976,economy,Delhi,19:20,Mumbai,10:35,15h 15m,9275,1-stop
06/27/2023,Air India,AI-469,economy,Delhi,05:15,Mumbai,12:30,07h 15m,9938,"1-stop
												Via RPR
												"
06/27/2023,Air India,AI-542,economy,Delhi,09:45,Mumbai,23:55,14h 10m,9938,1-stop
06/27/2023,Air India,AI-560,economy,Delhi,08:10,Mumbai,23:55,15h 45m,9938,1-stop
06/27/2023,Vistara,UK-683,economy,Delhi,13:40,Mumbai,15:15,25h 35m,10672,1-stop
06/27/2023,Air India,AI-403,economy,Delhi,12:55,Mumbai,19:15,06h 20m,10406,1-stop
06/27/2023,Indigo,6E-2154,economy,Delhi,10:30,Mumbai,14:35,04h 05m,10628,1-stop
06/27/2023,Air India,AI-9843,economy,Delhi,06:05,Mumbai,15:50,09h 45m,10628,1-stop
06/27/2023,Vistara,UK-871,economy,Delhi,20:35,Mumbai,23:00,26h 25m,11158,1-stop
06/27/2023,Indigo,6E-2168,economy,Delhi,18:00,Mumbai,22:25,04h 25m,10946,1-stop
06/27/2023,Indigo,6E-2193,economy,Delhi,14:05,Mumbai,22:25,08h 20m,10946,1-stop
06/27/2023,Indigo,6E-369,economy,Delhi,21:50,Mumbai,08:15,10h 25m,10946,1-stop
06/27/2023,Air India,AI-544,economy,Delhi,17:15,Mumbai,23:55,06h 40m,11211,1-stop
06/27/2023,Indigo,6E-2338,economy,Delhi,12:45,Mumbai,20:45,08h 00m,11439,1-stop
06/27/2023,Indigo,6.00E-282,economy,Delhi,10:00,Mumbai,19:40,09h 40m,11795,2+-stop
06/27/2023,Vistara,UK-809,economy,Delhi,19:50,Mumbai,08:15,12h 25m,12272,1-stop
06/27/2023,Vistara,UK-813,economy,Delhi,17:35,Mumbai,08:15,14h 40m,12272,1-stop
06/27/2023,Vistara,UK-817,economy,Delhi,16:05,Mumbai,08:15,16h 10m,12272,1-stop
06/27/2023,Vistara,UK-815,economy,Delhi,08:05,Mumbai,08:15,24h 10m,12272,1-stop
06/27/2023,Indigo,6E-2193,economy,Delhi,14:05,Mumbai,17:55,03h 50m,11932,1-stop
06/27/2023,Indigo,6.00E-152,economy,Delhi,10:15,Mumbai,17:55,07h 40m,11932,1-stop
06/27/2023,Air India,AI-453,economy,Delhi,04:55,Mumbai,15:00,10h 05m,12019,1-stop
06/27/2023,Vistara,UK-859,economy,Delhi,10:25,Mumbai,23:00,12h 35m,12431,1-stop
06/27/2023,Vistara,UK-637,economy,Delhi,17:10,Mumbai,21:35,04h 25m,12696,1-stop
06/27/2023,Vistara,UK-801,economy,Delhi,09:05,Mumbai,08:15,23h 10m,12696,1-stop
06/27/2023,Vistara,UK-829,economy,Delhi,07:30,Mumbai,14:30,07h 00m,12749,1-stop
06/27/2023,Vistara,UK-899,economy,Delhi,14:45,Mumbai,23:00,08h 15m,12749,1-stop
06/27/2023,Vistara,UK-829,economy,Delhi,07:30,Mumbai,23:00,15h 30m,12749,1-stop
06/27/2023,Air India,AI-9857,economy,Delhi,06:20,Mumbai,13:35,07h 15m,12421,1-stop
06/27/2023,Indigo,6E-607,economy,Delhi,22:15,Mumbai,08:25,10h 10m,12425,1-stop
06/27/2023,Air India,AI-504,economy,Delhi,21:35,Mumbai,21:05,23h 30m,12590,1-stop
06/27/2023,Vistara,UK-819,economy,Delhi,14:15,Mumbai,08:15,18h 00m,13120,1-stop
06/27/2023,Air India,AI-885,economy,Delhi,10:55,Mumbai,00:10,13h 15m,12802,1-stop
06/27/2023,SpiceJet,SG-2277,economy,Delhi,15:45,Mumbai,17:30,25h 45m,12979,1-stop
06/27/2023,Air India,AI-540,economy,Delhi,20:40,Mumbai,08:05,11h 25m,13120,1-stop
06/27/2023,Air India,AI-885,economy,Delhi,10:55,Mumbai,22:25,11h 30m,13120,1-stop
06/27/2023,Air India,AI-762,economy,Delhi,20:15,Mumbai,12:25,16h 10m,13120,1-stop
06/27/2023,Air India,AI-764,economy,Delhi,16:55,Mumbai,12:25,19h 30m,13120,1-stop
06/27/2023,Air India,AI-885,economy,Delhi,10:55,Mumbai,08:20,21h 25m,13120,1-stop
06/27/2023,GO FIRST,G8-719,economy,Delhi,06:00,Mumbai,20:15,14h 15m,13200,1-stop
06/27/2023,GO FIRST,G8-188,economy,Delhi,08:00,Mumbai,15:45,07h 45m,13454,1-stop
06/27/2023,Vistara,UK-879,economy,Delhi,17:40,Mumbai,23:00,05h 20m,13810,1-stop
06/27/2023,Vistara,UK-737,economy,Delhi,15:55,Mumbai,13:00,21h 05m,13968,1-stop
06/27/2023,Vistara,UK-817,economy,Delhi,16:05,Mumbai,21:50,05h 45m,14234,1-stop
06/27/2023,Vistara,UK-815,economy,Delhi,08:05,Mumbai,20:15,12h 10m,14234,1-stop
06/27/2023,Vistara,UK-815,economy,Delhi,08:05,Mumbai,21:50,13h 45m,14234,1-stop
06/27/2023,Air India,AI-537,economy,Delhi,16:15,Mumbai,08:05,15h 50m,13968,1-stop
06/27/2023,GO FIRST,G8-266,economy,Delhi,06:25,Mumbai,18:10,11h 45m,14270,1-stop
06/27/2023,Vistara,UK-801,economy,Delhi,09:05,Mumbai,20:15,11h 10m,14658,1-stop
06/27/2023,Vistara,UK-801,economy,Delhi,09:05,Mumbai,21:50,12h 45m,14658,1-stop
06/27/2023,Air India,AI-885,economy,Delhi,10:55,Mumbai,16:35,05h 40m,14393,1-stop
06/27/2023,GO FIRST,G8-119,economy,Delhi,18:40,Mumbai,09:50,15h 10m,14553,1-stop
06/27/2023,GO FIRST,G8-717,economy,Delhi,16:40,Mumbai,21:25,04h 45m,14632,1-stop
06/27/2023,Vistara,UK-819,economy,Delhi,14:15,Mumbai,20:15,06h 00m,15082,1-stop
06/27/2023,Vistara,UK-819,economy,Delhi,14:15,Mumbai,21:50,07h 35m,15082,1-stop
06/27/2023,Vistara,UK-706,economy,Delhi,13:40,Mumbai,21:35,07h 55m,15188,1-stop
06/27/2023,Vistara,UK-809,economy,Delhi,19:50,Mumbai,11:25,15h 35m,15507,1-stop
06/27/2023,Vistara,UK-813,economy,Delhi,17:35,Mumbai,11:25,17h 50m,15507,1-stop
06/27/2023,Vistara,UK-817,economy,Delhi,16:05,Mumbai,11:25,19h 20m,15507,1-stop
06/27/2023,Vistara,UK-809,economy,Delhi,19:50,Mumbai,21:50,26h 00m,15507,1-stop
06/27/2023,Vistara,UK-813,economy,Delhi,17:35,Mumbai,21:50,28h 15m,15507,1-stop
06/27/2023,GO FIRST,G8-1404,economy,Delhi,09:10,Mumbai,16:15,07h 05m,15268,1-stop
06/27/2023,Air India,AI-439,economy,Delhi,06:05,Mumbai,08:05,26h 00m,15347,1-stop
06/27/2023,Indigo,6E-2102,economy,Delhi,07:20,Mumbai,12:25,05h 05m,15384,1-stop
06/27/2023,Air India,AI-465,economy,Delhi,16:50,Mumbai,23:05,06h 15m,15665,1-stop
06/27/2023,Indigo,6.00E-184,economy,Delhi,09:05,Mumbai,13:15,04h 10m,15877,1-stop
06/27/2023,SpiceJet,SG-3002,economy,Delhi,07:45,Mumbai,12:00,04h 15m,15877,1-stop
06/27/2023,Indigo,6E-5018,economy,Delhi,12:55,Mumbai,23:15,10h 20m,15877,1-stop
06/27/2023,Air India,AI-401,economy,Delhi,06:50,Mumbai,20:05,13h 15m,16195,1-stop
06/27/2023,Vistara,UK-839,economy,Delhi,13:30,Mumbai,22:35,09h 05m,16726,1-stop
06/27/2023,Vistara,UK-833,economy,Delhi,07:10,Mumbai,22:35,15h 25m,16726,1-stop
06/27/2023,GO FIRST,G8-165,economy,Delhi,06:05,Mumbai,14:05,08h 00m,16991,1-stop
06/27/2023,Vistara,UK-809,economy,Delhi,19:50,Mumbai,20:15,24h 25m,17521,1-stop
06/27/2023,Vistara,UK-813,economy,Delhi,17:35,Mumbai,20:15,26h 40m,17521,1-stop
06/27/2023,GO FIRST,G8-237,economy,Delhi,12:50,Mumbai,22:05,09h 15m,17307,1-stop
06/27/2023,Air India,AI-762,economy,Delhi,20:15,Mumbai,20:05,23h 50m,18316,1-stop
06/27/2023,Air India,AI-764,economy,Delhi,16:55,Mumbai,20:05,27h 10m,18316,1-stop
06/27/2023,Vistara,UK-673,economy,Delhi,13:20,Mumbai,18:20,05h 00m,19536,1-stop
06/27/2023,Vistara,UK-627,economy,Delhi,13:20,Mumbai,16:00,26h 40m,19749,1-stop
06/27/2023,Vistara,UK-705,economy,Delhi,06:30,Mumbai,13:00,06h 30m,20013,"1-stop
												Via Lucknow
												"
06/27/2023,Air India,AI-406,economy,Delhi,10:15,Mumbai,15:05,04h 50m,20649,1-stop
06/27/2023,Air India,AI-9809,economy,Delhi,13:15,Mumbai,15:05,25h 50m,21392,"1-stop
												Via GOP
												"
06/27/2023,Air India,AI-512,economy,Delhi,14:10,Mumbai,23:05,08h 55m,22558,1-stop
06/27/2023,GO FIRST,G8-286,economy,Delhi,10:50,Mumbai,18:20,07h 30m,23514,1-stop
06/27/2023,GO FIRST,G8-286,economy,Delhi,10:50,Mumbai,19:40,08h 50m,23514,1-stop
06/27/2023,Vistara,UK-847,economy,Delhi,11:10,Mumbai,14:45,27h 35m,24733,1-stop
06/27/2023,Air India,AI-411,economy,Delhi,07:05,Mumbai,15:05,08h 00m,25104,1-stop
06/27/2023,Vistara,UK-737,economy,Delhi,15:55,Mumbai,20:20,28h 25m,26164,1-stop
06/27/2023,Vistara,UK-705,economy,Delhi,06:30,Mumbai,20:20,13h 50m,29452,"1-stop
												Via Lucknow
												"
06/27/2023,Air India,AI-877,economy,Delhi,11:00,Mumbai,17:25,06h 25m,29876,1-stop
06/28/2023,SpiceJet,SG-8803,economy,Delhi,07:20,Mumbai,09:35,02h 15m,6013,non-stop
06/28/2023,SpiceJet,SG-8157,economy,Delhi,06:20,Mumbai,08:40,02h 20m,6013,non-stop
06/28/2023,SpiceJet,SG-8169,economy,Delhi,19:45,Mumbai,22:05,02h 20m,6013,non-stop
06/28/2023,Vistara,UK-927,economy,Delhi,09:30,Mumbai,11:35,02h 05m,6015,non-stop
06/28/2023,Vistara,UK-995,economy,Delhi,10:20,Mumbai,12:35,02h 15m,6015,non-stop
06/28/2023,Vistara,UK-963,economy,Delhi,08:50,Mumbai,11:10,02h 20m,6015,non-stop
06/28/2023,GO FIRST,G8-334,economy,Delhi,08:00,Mumbai,10:10,02h 10m,6014,non-stop
06/28/2023,GO FIRST,G8-346,economy,Delhi,19:40,Mumbai,21:55,02h 15m,6014,non-stop
